date,miles,rank,delta
2021-05-22,128.7613555867623,1.0,127.7613555867623
2018-02-24,127.8455764474878,2.0,125.8455764474878
2021-05-15,125.56886674040291,3.0,122.56886674040291
2016-10-23,105.37549554475748,4.0,101.37549554475748
2016-09-11,103.81087899387327,5.0,98.81087899387327
2020-08-30,101.12717014428276,6.0,95.12717014428276
2021-06-13,100.54867212646178,7.0,93.54867212646178
2014-04-12,100.51076838952615,8.0,92.51076838952615
2013-04-27,99.67812892241541,9.0,90.67812892241541
2017-05-28,99.47991101942412,10.0,89.47991101942412
2017-10-01,98.2819043831633,11.0,87.2819043831633
2017-04-29,94.13237724781588,12.0,82.13237724781588
2019-12-20,89.04830551654716,13.0,76.04830551654716
2015-12-28,87.25067418941927,14.0,73.25067418941927
2021-12-19,87.03940745895834,15.0,72.03940745895834
2014-04-05,86.48700709607665,16.0,70.48700709607665
2018-02-17,86.35962568506345,17.0,69.35962568506345
2015-12-29,85.93336398772168,18.0,67.93336398772168
2017-10-21,85.70718431158114,19.0,66.70718431158114
2015-11-07,85.10196726608424,20.0,65.10196726608424
2021-05-08,84.0735953869288,21.0,63.0735953869288
2014-12-31,82.3405868244125,22.0,60.3405868244125
2014-08-06,82.03984241987399,23.0,59.03984241987399
2021-11-28,80.42178781363789,24.0,56.42178781363789
2014-04-19,80.12290752730934,25.0,55.12290752730934
2016-08-21,79.60909441137362,26.0,53.60909441137362
2015-07-25,77.90584960294282,27.0,50.90584960294282
2014-05-03,77.55166714305244,28.0,49.55166714305244
2019-12-21,76.68733766637256,29.0,47.68733766637256
2019-11-23,76.58108292840544,30.0,46.581082928405436
2014-12-29,76.35055364310836,31.0,45.350553643108356
2021-11-13,76.31016441522613,32.0,44.310164415226126
2020-10-21,75.82928405433285,33.0,42.829284054332845
2018-12-02,74.68154647246698,34.0,40.68154647246698
2013-04-06,73.98747312562914,35.0,38.98747312562914
2021-04-17,73.94024879764376,36.0,37.94024879764376
2014-05-31,73.83399405967664,37.0,36.83399405967664
2019-11-29,73.45992767221345,38.0,35.45992767221345
2021-08-08,73.15160252028782,39.0,34.151602520287824
2021-12-05,73.09828873948327,40.0,33.098288739483266
2015-08-30,72.27869809984217,41.0,31.278698099842174
2014-03-22,71.88661190301615,42.0,29.886611903016146
2014-12-28,71.54175003417551,43.0,28.541750034175507
2014-03-15,71.3932419501162,44.0,27.393241950116206
2016-12-27,71.33048330371457,45.0,26.330483303714573
2021-10-23,71.0912548001044,46.0,25.091254800104394
2014-08-24,70.73769371295066,47.0,23.73769371295066
2021-12-11,70.53450482806616,48.0,22.53450482806616
2019-09-09,70.50032932755043,49.0,21.500329327550432
2013-03-30,70.4263859718891,50.0,20.426385971889104
2015-03-21,69.25137012688431,51.0,18.25137012688431
2016-09-03,67.63331552064822,52.0,15.633315520648225
2015-12-27,67.25179266034525,53.0,14.251792660345245
2013-03-23,66.5788459865535,54.0,12.578845986553503
2020-04-11,66.46824163942983,55.0,11.468241639429834
2018-02-04,66.4154249568146,56.0,10.415424956814604
2014-08-04,65.99040600494612,57.0,8.990406004946124
2021-07-04,65.91024892191831,58.0,7.91024892191831
2020-08-08,65.83692693899363,59.0,6.836926938993628
2014-10-19,65.49392918836294,60.0,5.493929188362941
2021-10-16,64.98316079883679,61.0,3.983160798836792
2020-08-15,64.950849416531,62.0,2.9508494165309997
2015-12-23,64.38726434438964,63.0,1.387264344389635
2014-11-16,64.15207476356768,64.0,0.15207476356768268
2021-10-02,63.80317397193881,65.0,-1.1968260280611887
2014-03-08,63.57015919569513,66.0,-2.4298408043048667
2015-09-05,63.38933972933004,67.0,-3.6106602706699604
2021-05-29,63.31104676451216,68.0,-4.688953235487837
2021-07-10,63.233996545167585,69.0,-5.766003454832415
2020-10-22,63.226540072327786,70.0,-6.773459927672214
2021-08-23,62.46660121540508,71.0,-8.533398784594922
2016-03-19,62.11136242186238,72.0,-9.888637578137619
2014-05-24,61.22752184125169,73.0,-11.772478158748306
2013-11-16,61.15146581828576,74.0,-12.848534181714243
2014-03-01,61.10604347123665,75.0,-13.893956528763347
2016-11-27,60.63467011321412,76.0,-15.36532988678588
2021-04-10,60.56805895584526,77.0,-16.43194104415474
2014-12-27,60.06623833372687,78.0,-17.933761666273128
2013-03-09,59.737345744218125,79.0,-19.262654255781875
2019-12-18,59.53664235028024,80.0,-20.46335764971976
2017-12-27,58.71307492512459,81.0,-22.286925074875413
2021-03-21,57.66028309741882,82.0,-24.33971690258118
2014-01-18,57.220351199870755,83.0,-25.779648800129245
2019-08-16,57.197484683162045,84.0,-26.802515316837955
2017-12-29,56.616625448941804,85.0,-28.383374551058196
2017-12-28,56.55796786260206,86.0,-29.442032137397938
2017-04-15,56.21130401282514,87.0,-30.78869598717486
2017-04-22,55.85351759106218,88.0,-32.14648240893782
2016-10-29,55.84773882461133,89.0,-33.15226117538867
2017-12-16,54.73753215603912,90.0,-35.26246784396088
2017-12-10,54.51607491269713,91.0,-36.48392508730287
2018-10-12,54.42330396311532,92.0,-37.57669603688468
2014-07-20,54.30822573228777,93.0,-38.69177426771223
2018-04-21,54.079187741558655,94.0,-39.920812258441345
2018-05-12,54.06067083400649,95.0,-40.93932916599351
2019-03-16,53.80826922837934,96.0,-42.19173077162066
2021-07-24,53.7373705991276,97.0,-43.2626294008724
2015-05-20,53.51162588390272,98.0,-44.48837411609728
2021-07-03,53.32285284650851,99.0,-45.67714715349149
2013-05-06,53.27792759764873,100.0,-46.72207240235127
2016-11-13,52.9596604819367,101.0,-48.0403395180633
2018-11-04,52.93356282699741,102.0,-49.06643717300259
2021-11-20,52.77312438639442,103.0,-50.22687561360558
2015-07-03,52.70061018802739,104.0,-51.29938981197261
2021-09-25,52.692532342450946,105.0,-52.307467657549054
2019-08-19,52.59385835187095,106.0,-53.40614164812905
2015-12-20,52.50046602955249,107.0,-54.49953397044751
2019-09-21,52.421489554724296,108.0,-55.578510445275704
2016-02-20,52.11738973740789,109.0,-56.88261026259211
2014-09-07,51.85728310984628,110.0,-58.14271689015372
2014-10-26,51.701070003852514,111.0,-59.298929996147486
2014-11-02,51.69056880460313,112.0,-60.30943119539687
2018-08-18,51.507885220028086,113.0,-61.492114779971914
2017-09-02,51.35863148868481,114.0,-62.64136851131519
2021-05-02,50.9029788608995,115.0,-64.09702113910049
2020-04-05,50.43583083748617,116.0,-65.56416916251382
2016-08-27,50.36959250375931,117.0,-66.6304074962407
2021-04-03,50.224191283383256,118.0,-67.77580871661675
2018-01-07,49.72833583953671,119.0,-69.27166416046329
2020-04-19,49.5296208383561,120.0,-70.4703791616439
2015-05-16,49.45232206991687,121.0,-71.54767793008313
2015-04-04,49.275665800887325,122.0,-72.72433419911268
2019-07-18,49.22676376651299,123.0,-73.77323623348701
2021-06-28,49.12100612673518,124.0,-74.87899387326482
2018-04-07,48.87550175848485,125.0,-76.12449824151514
